897705,Perth,21/12/2015,AU Rashid,Western Australia Cricket Association Ground,0,Perth Scorchers,Adelaide Strikers,Perth Scorchers,bat,Adelaide Strikers,wickets,4,N,NA,GA Abood,MD Martell
897707,Hobart,22/12/2015,TD Paine,Bellerive Oval,0,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,bat,Hobart Hurricanes,runs,20,N,NA,GJ Davidson,MW Graham-Smith
897709,Melbourne,23/12/2015,MJ Lumb,Docklands Stadium,0,Melbourne Renegades,Sydney Sixers,Sydney Sixers,field,Sydney Sixers,wickets,3,N,NA,SD Fry,SJ Nogajski
897711,Perth,26/12/2015,DJ Willey,Western Australia Cricket Association Ground,0,Perth Scorchers,Brisbane Heat,Brisbane Heat,bat,Perth Scorchers,wickets,9,N,NA,SAJ Craig,MW Graham-Smith
897713,Sydney,27/12/2015,GJ Maxwell,Sydney Cricket Ground,0,Sydney Sixers,Melbourne Stars,Sydney Sixers,bat,Melbourne Stars,wickets,5,N,NA,GC Joshua,SJ Nogajski
897715,Sydney,28/12/2015,JH Kallis,Sydney Showground Stadium,0,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Thunder,wickets,7,N,NA,GA Abood,GJ Davidson
897717,Brisbane,29/12/2015,CA Lynn,"Brisbane Cricket Ground, Woolloongabba",0,Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,bat,Hobart Hurricanes,runs,15,N,NA,AJ Barrow,SD Fry
897719,Melbourne,30/12/2015,M Klinger,Docklands Stadium,0,Melbourne Renegades,Perth Scorchers,Perth Scorchers,field,Perth Scorchers,wickets,10,N,NA,GA Abood,PJ Gillespie
897721,Adelaide,31/12/2015,TM Head,Adelaide Oval,0,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,field,Adelaide Strikers,wickets,5,N,NA,SD Fry,P Wilson
897723,Hobart,01/01/2016,SW Tait,Bellerive Oval,0,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,field,Hobart Hurricanes,runs,11,N,NA,PJ Gillespie,GC Joshua
897725,Melbourne,02/01/2016,LJ Wright,Melbourne Cricket Ground,0,Melbourne Stars,Melbourne Renegades,Melbourne Stars,field,Melbourne Stars,wickets,7,N,NA,SAJ Craig,SJ Nogajski
